1676842051240	10618,0,68587520	10637,0,67575808	10656,0,68902912	10679,0,69701632
1676842052245	10618,55.44554455445545,128991232	10637,51.48514851485149,126152704	10656,61.386138613861384,126877696	10679,49.504950495049506,124555264
1676842053250	10618,2,131354624	10637,1,126152704	10656,0,126877696	10679,0,124555264
1676842054254	10618,4.9504950495049505,131354624	10637,4.9504950495049505,128552960	10656,7.920792079207921,140390400	10679,0,124555264
1676842055256	10618,6,134115328	10637,3,129339392	10656,5,143540224	10679,8,138399744
1676842056258	10618,10,141594624	10637,4,129368064	10656,2,145637376	10679,5,141230080
1676842057262	10618,17.82178217821782,146878464	10637,1.9801980198019802,131465216	10656,2.9702970297029703,145903616	10679,1.9801980198019802,141479936
1676842058263	10618,80,153812992	10637,73,155590656	10656,39,152899584	10679,103,157290496
1676842059264	10618,95,245071872	10637,64,157241344	10656,2,153088000	10679,167,258555904
1676842060265	10618,73,247058432	10637,18,157319168	10656,1,153088000	10679,71,261529600
1676842061266	10618,37,247226368	10637,26,170778624	10656,1,153186304	10679,50,264003584
1676842062266	10618,45,247296000	10637,10,181264384	10656,0,153186304	10679,54,274542592
1676842063268	10618,98,266289152	10637,11,181534720	10656,0,153186304	10679,64,276905984
1676842064269	10618,72.27722772277228,266559488	10637,7.920792079207921,181534720	10656,0,153186304	10679,68.31683168316832,276946944
1676842065270	10618,102,269078528	10637,16,183631872	10656,1,153186304	10679,70,277192704
1676842066271	10618,77,269078528	10637,112.99999999999999,239788032	10656,0,153186304	10679,73,277471232
1676842067272	10618,76,269135872	10637,23,254083072	10656,2,153419776	10679,154,304226304
1676842068273	10618,86,269135872	10637,8,268939264	10656,0,153419776	10679,113.99999999999999,311992320
1676842069275	10618,56.99999999999999,269221888	10637,5,281522176	10656,1,153419776	10679,49,312197120
1676842070278	10618,54,269250560	10637,10,294191104	10656,45,155467776	10679,37,312197120
1676842071279	10618,59.4059405940594,269250560	10637,19.801980198019802,295813120	10656,112.87128712871286,185839616	10679,10.891089108910892,312197120
1676842072280	10618,81,270323712	10637,11,296919040	10656,25,201617408	10679,49,312197120
1676842073281	10618,64,270716928	10637,14.000000000000002,296919040	10656,61,254398464	10679,13,312287232
1676842074282	10618,97,270716928	10637,35,314490880	10656,25,254398464	10679,43,312287232
1676842075283	10618,67,270716928	10637,9,314490880	10656,80,258523136	10679,12,312287232
1676842076285	10618,56.99999999999999,270716928	10637,38,316653568	10656,66,266162176	10679,9,312287232
1676842077285	10618,62,270790656	10637,7.000000000000001,316653568	10656,1,266334208	10679,63,312373248
1676842078287	10618,61,270790656	10637,6,316653568	10656,1,266334208	10679,70,312717312
1676842079289	10618,63,270790656	10637,4,316653568	10656,0,266645504	10679,46,312987648
1676842080290	10618,70.29702970297029,270790656	10637,3.9603960396039604,316653568	10656,0.9900990099009901,266645504	10679,49.504950495049506,312987648
1676842081292	10618,63,270790656	10637,4,316653568	10656,0,266645504	10679,47,313061376
1676842082293	10618,62,270790656	10637,3,316801024	10656,0,266645504	10679,36,313147392
1676842083294	10618,56.00000000000001,270868480	10637,5,316801024	10656,15,266756096	10679,32,313147392
1676842084296	10618,59,270868480	10637,6,316801024	10656,71,280543232	10679,9,313147392
1676842085297	10618,60,270868480	10637,4,316801024	10656,6,280805376	10679,45,313147392
1676842086297	10618,53,270868480	10637,5,316801024	10656,0,280805376	10679,38,313147392
1676842087299	10618,53,270868480	10637,5,316801024	10656,0,280805376	10679,38,313257984
1676842088301	10618,54.45544554455446,270958592	10637,3.9603960396039604,316801024	10656,0.9900990099009901,280805376	10679,38.613861386138616,313257984
1676842089302	10618,56.99999999999999,270958592	10637,2,316801024	10656,0,280805376	10679,40,313311232
1676842090303	10618,66,270958592	10637,5,316801024	10656,0,280805376	10679,46,313311232
1676842091303	10618,65,270958592	10637,4,316801024	10656,1,280805376	10679,44,313311232
1676842092305	10618,66,270958592	10637,5,316801024	10656,0,280805376	10679,45,313311232
1676842093307	10618,63,270958592	10637,5,316882944	10656,1,280805376	10679,41,313311232
1676842094309	10618,53,270958592	10637,3,316882944	10656,0,280805376	10679,38,313311232
1676842095310	10618,50.495049504950494,270958592	10637,3.9603960396039604,316882944	10656,0,280805376	10679,34.65346534653465,313311232
1676842096313	10618,67,270958592	10637,3,316882944	10656,0,280805376	10679,63,329797632
1676842097314	10618,71,270958592	10637,4,316882944	10656,0,280805376	10679,48,329797632
1676842098314	10618,72,271220736	10637,5,317145088	10656,2,280805376	10679,48,329875456
1676842099315	10618,69,271220736	10637,4,317145088	10656,0,280805376	10679,47,329875456
1676842100316	10618,66,271220736	10637,5,317145088	10656,20,280879104	10679,33,329875456
1676842101317	10618,52,271310848	10637,5,317145088	10656,56.99999999999999,280879104	10679,9,329945088
1676842102318	10618,45,271310848	10637,4,317145088	10656,11,280879104	10679,23,329945088
1676842103320	10618,49.504950495049506,271310848	10637,7.920792079207921,317210624	10656,78.21782178217822,286273536	10679,14.85148514851485,329945088
1676842104321	10618,59,271310848	10637,5,317210624	10656,1,286355456	10679,48,329945088
1676842105322	10618,51,271310848	10637,5,317210624	10656,1,286355456	10679,37,330027008
1676842106324	10618,65,271310848	10637,3,317210624	10656,0,286355456	10679,45,330027008
1676842107329	10618,56.99999999999999,271310848	10637,4,317210624	10656,1,285884416	10679,34,330027008
1676842108331	10618,100.99009900990099,271552512	10637,10.891089108910892,317165568	10656,0,0	10679,59.4059405940594,330027008
1676842109332	10618,55.00000000000001,271552512	10637,3,317165568	10656,0,0	10679,32,330027008
1676842110333	10618,62,271552512	10637,6,317165568	10656,0,0	10679,41,330502144
1676842111335	10618,72,271634432	10637,4,317243392	10656,0,0	10679,49,330502144
1676842112339	10618,87,271634432	10637,12,317243392	10656,0,0	10679,48,330502144
1676842113342	10618,98.01980198019803,271896576	10637,8.91089108910891,317243392	10656,0,0	10679,45.54455445544555,330502144
1676842114345	10618,81,272166912	10637,4,317243392	10656,0,0	10679,51,330502144
1676842115347	10618,77,272318464	10637,4,317386752	10656,0,0	10679,55.00000000000001,330502144
1676842116351	10618,88,272318464	10637,6,317386752	10656,0,0	10679,64,330575872
1676842117354	10618,80.19801980198021,272457728	10637,3.9603960396039604,317386752	10656,0,0	10679,58.415841584158414,330575872
1676842118356	10618,70,272637952	10637,5,317386752	10656,0,0	10679,52,330575872
1676842119358	10618,81,276672512	10637,6,317464576	10656,0,0	10679,55.00000000000001,330575872
1676842120360	10618,80.19801980198021,276672512	10637,22.772277227722775,317464576	10656,0,0	10679,49.504950495049506,330641408
1676842121361	10618,71,276672512	10637,5,317464576	10656,0,0	10679,49,330641408
1676842122362	10618,49,276672512	10637,2,317464576	10656,0,0	10679,31,330641408
1676842123363	10618,53,276672512	10637,4,317554688	10656,0,0	10679,41,330641408
1676842124365	10618,50,276672512	10637,4,317554688	10656,0,0	10679,35,330641408
1676842125366	10618,52,276848640	10637,3,317554688	10656,0,0	10679,36,330723328
1676842126366	10618,53,276848640	10637,3,317554688	10656,0,0	10679,39,330829824
1676842127367	10618,53,277024768	10637,2,317554688	10656,0,0	10679,34,330829824
1676842128367	10618,55.00000000000001,277024768	10637,5,317624320	10656,0,0	10679,36,330829824
1676842129369	10618,53,277127168	10637,3,317624320	10656,0,0	10679,33,330829824
1676842130370	10618,52.475247524752476,277127168	10637,2.9702970297029703,317624320	10656,0,0	10679,35.64356435643564,330829824
1676842131371	10618,53,277127168	10637,3,317624320	10656,0,0	10679,35,330829824
1676842132373	10618,56.00000000000001,277221376	10637,5,317624320	10656,0,0	10679,36,330829824
1676842133375	10618,54,277221376	10637,3,317624320	10656,0,0	10679,38,330895360
1676842134379	10618,54,277221376	10637,3,317624320	10656,0,0	10679,39,330895360
1676842135382	10618,50.495049504950494,277221376	10637,2.9702970297029703,317624320	10656,0,0	10679,35.64356435643564,330895360
1676842136383	10618,52,277221376	10637,4,317624320	10656,0,0	10679,37,330895360
1676842137384	10618,53,277221376	10637,4,317624320	10656,0,0	10679,37,330895360
1676842138386	10618,51,277221376	10637,3,317624320	10656,0,0	10679,36,330895360
1676842139386	10618,56.00000000000001,277221376	10637,4,317624320	10656,0,0	10679,38,330964992
1676842140388	10618,56.00000000000001,277221376	10637,3,317624320	10656,0,0	10679,37,330964992
1676842141391	10618,52.475247524752476,277299200	10637,2.9702970297029703,317624320	10656,0,0	10679,34.65346534653465,330964992
1676842142392	10618,56.00000000000001,277299200	10637,4,317624320	10656,0,0	10679,38,330964992
1676842143393	10618,54,277299200	10637,3,317624320	10656,0,0	10679,37,330964992
1676842144393	10618,52,277299200	10637,3,317624320	10656,0,0	10679,40,330964992
1676842145395	10618,54,277737472	10637,3,317624320	10656,0,0	10679,33,330964992
1676842146396	10618,54,277737472	10637,4,317624320	10656,0,0	10679,36,330964992
1676842147398	10618,52,277737472	10637,2,317624320	10656,0,0	10679,37,330964992
1676842148399	10618,50,277737472	10637,3,317624320	10656,0,0	10679,35,330964992
1676842149400	10618,53.46534653465347,277737472	10637,2.9702970297029703,317624320	10656,0,0	10679,35.64356435643564,330964992
1676842150401	10618,51,277737472	10637,3,317624320	10656,0,0	10679,34,330964992
1676842151402	10618,52,277737472	10637,3,317624320	10656,0,0	10679,36,330964992
1676842152403	10618,53,277737472	10637,4,317624320	10656,0,0	10679,36,330964992
1676842153405	10618,55.00000000000001,277737472	10637,3,317624320	10656,0,0	10679,37,330964992
1676842154406	10618,53,277737472	10637,5,317734912	10656,0,0	10679,34,330964992
1676842155406	10618,50,277737472	10637,2,317734912	10656,0,0	10679,35,330964992
1676842156407	10618,51,277737472	10637,4,317734912	10656,0,0	10679,36,330964992
1676842157409	10618,33,277827584	10637,4,317906944	10656,0,0	10679,21,330964992
1676842158411	10618,0.9900990099009901,277962752	10637,0,0	10656,0,0	10679,0.9900990099009901,331034624
